夏园	xia'yuan
南湾	nan'wan
庙头	miao'tou
南海神庙	nan'hai'shen'miao
沙浦	sha'pu
双岗	shuang'gang
黄埔客运站	huang'pu'ke'yun'zhan
乌冲	wu'chong
下沙	xia'sha
珠江村	zhu'jiang'cun
茅岗	mao'gang
莲溪	lian'xi
珠村	zhu'cun
黄村	huang'cun
东圃镇	dong'pu'zhen
车陂	che'bei
天朗明居	tian'lang'ming'ju
棠东	tang'dong
棠下村	tang'xia'cun
学院	xue'yuan
上社	shang'she
华景新城	hua'jing'xin'cheng
师大暨大	shi'da'ji'da
岗顶	gang'ding
石牌桥	shi'pai'qiao
体育中心	ti'yu'zhong'xin
广州火车站总站	guang'zhou'huo'che'zhan'zong'zhan
电视塔	dian'shi'ta
花园酒店	hua'yuan'jiu'dian
广东工大	guang'dong'gong'da
动物园南门	dong'wu'yuan'nan'men
桃园东路	tao'yuan'dong'lu
莲溪路口	lian'xi'lu'kou
汇彩路总站	hui'cai'lu'zong'zhan
汇彩路	hui'cai'lu
珠村路	zhu'cun'lu
白云宾馆	bai'yun'bin'guan
越秀公园北门	yue'xiu'gong'yuan'bei'men
东圃总站	dong'pu'zong'zhan
罗冲围总站	luo'chong'wei'zong'zhan
松南路口	song'nan'lu'kou
罗冲围客运站	luo'chong'wei'ke'yun'zhan
富力半岛花园	fu'li'ban'dao'hua'yuan
西场电器城	xi'chang'dian'qi'cheng
和平新村	he'ping'xin'cun
东风西路	dong'feng'xi'lu
市少年宫	shi'shao'nian'gong
广医	guang'yi
中山纪念堂	zhong'shan'ji'nian'tang
广东大厦	guang'dong'da'sha
正骨医院	zheng'gu'yi'yuan
东风东路	dong'feng'dong'lu
先烈南路	xian'lie'nan'lu
天河立交	tian'he'li'jiao
东圃客运站	dong'pu'ke'yun'zhan
越秀桥	yue'xiu'qiao
东风中路	dong'feng'zhong'lu
松南街口	song'nan'jie'kou
松北	song'bei
广仁路总站	guang'ren'lu'zong'zhan
执信路	zhi'xin'lu
东风东路	dong'feng'dong'lu
东峻广场	dong'jun'guang'chang
锦城花园	jin'cheng'hua'yuan
黄村路口	huang'cun'lu'kou
奥林匹克中心西门	ao'lin'pi'ke'zhong'xin'xi'men
地铁大观南路站	di'tie'da'guan'nan'lu'zhan
大观中路	da'guan'zhong'lu
大观中路南	da'guan'zhong'lu'nan
科学城路口	ke'xue'cheng'lu'kou
光宝路口	guang'bao'lu'kou
光谱西路	guang'pu'xi'lu
光谱西路中	guang'pu'xi'lu'zhong
光谱西路	guang'pu'xi'lu
神舟路	shen'zhou'lu
科学大道中	ke'xue'da'dao'zhong
科学信息大厦	ke'xue'xin'xi'da'sha
科学大道	ke'xue'da'dao
聆雨路路口	ling'yu'lu'lu'kou
开泰大道	kai'tai'da'dao
科学城总站	ke'xue'cheng'zong'zhan
开泰大道	kai'tai'da'dao
黄村西路	huang'cun'xi'lu
肿瘤医院	zhong'liu'yi'yuan
中山纪念堂	zhong'shan'ji'nian'tang
合景路东	he'jing'lu'dong
合景路	he'jing'lu
沐陂村	mu'bei'cun
天河智慧城核心区总站	tian'he'zhi'hui'cheng'he'xin'qu'zong'zhan
软件路	ruan'jian'lu
小新塘	xiao'xin'tang
棠德小区北	tang'de'xiao'qu'bei
省农干科干院	sheng'nong'gan'ke'gan'yuan
农科院	nong'ke'yuan
师大后门	shi'da'hou'men
天河科技街	tian'he'ke'ji'jie
科学大道口	ke'xue'da'dao'kou
天河软件园管委会	tian'he'ruan'jian'yuan'guan'wei'hui
高普路软件路口	gao'pu'lu'ruan'jian'lu'kou
高普路天盈路口	gao'pu'lu'tian'ying'lu'kou
黄埔港	huang'pu'gang
杨箕村	yang'ji'cun
梅花村	mei'hua'cun
农林东	nong'lin'dong
东山口	dong'shan'kou
东华南路	dong'hua'nan'lu
江湾桥脚	jiang'wan'qiao'jiao
江湾桥南	jiang'wan'qiao'nan
基立下道	ji'li'xia'dao
江南大道口	jiang'nan'da'dao'kou
宝岗大道总站	bao'gang'da'dao'zong'zhan
广东药学院	guang'dong'yao'xue'yuan
荔香路南	li'xiang'lu'nan
同和路总站	tong'he'lu'zong'zhan
林科所	lin'ke'suo
老庄	lao'zhuang
南湖乐园	nan'hu'le'yuan
斯文井	si'wen'jing
同和榕树头	tong'he'rong'shu'tou
同和	tong'he
东坑	dong'keng
南方医院	nan'fang'yi'yuan
一五七医院	yi'wu'qi'yi'yuan
梅花园	mei'hua'yuan
梅园新村	mei'yuan'xin'cun
鸡颈坑	ji'jing'keng
伍仙桥	wu'xian'qiao
兴华路口	xing'hua'lu'kou
豪景花园	hao'jing'hua'yuan
省军区	sheng'jun'qu
东站汽车客运站	dong'zhan'qi'che'ke'yun'zhan
广园天寿路口东	guang'yuan'tian'shou'lu'kou'dong
科韵路棠安路口	ke'yun'lu'tang'an'lu'kou
广州大道中	guang'zhou'da'dao'zhong
广州体院	guang'zhou'ti'yuan
白云区医院	bai'yun'qu'yi'yuan
南湖半山	nan'hu'ban'shan
海珠客运站	hai'zhu'ke'yun'zhan
洛溪桥脚	luo'xi'qiao'jiao
上涌南	shang'yong'nan
上涌	shang'yong
园艺场	yuan'yi'chang
敦和	dun'he
珠影	zhu'ying
赤岗路口	chi'gang'lu'kou
赤岗	chi'gang
磨碟沙	mo'die'sha
海港花园	hai'gang'hua'yuan
广交会展馆	guang'jiao'hui'zhan'guan
琶洲	pa'zhou
琶洲大桥北	pa'zhou'da'qiao'bei
科韵路	ke'yun'lu
海珠客运站	hai'zhu'ke'yun'zhan
磨碟沙路	mo'die'sha'lu
芳园路口	fang'yuan'lu'kou
阅江西路西	yue'jiang'xi'lu'xi
阅江西路中	yue'jiang'xi'lu'zhong
阅江西路东	yue'jiang'xi'lu'dong
会展公园	hui'zhan'gong'yuan
阅江中路	yue'jiang'zhong'lu
会展中心码头	hui'zhan'zhong'xin'ma'tou
会展中心北	hui'zhan'zhong'xin'bei
琶洲大道东	pa'zhou'da'dao'dong
琶洲大桥南	pa'zhou'da'qiao'nan
会展东路	hui'zhan'dong'lu
艺洲路东	yi'zhou'lu'dong
艺苑路	yi'yuan'lu
宝岗大道北	bao'gang'da'dao'bei
市红会医院	shi'hong'hui'yi'yuan
解放南路	jie'fang'nan'lu
大南路	da'nan'lu
文明路	wen'ming'lu
中山图书馆	zhong'shan'tu'shu'guan
三角市	san'jiao'shi
较场西路	jiao'chang'xi'lu
烈士陵园	lie'shi'ling'yuan
中山医	zhong'shan'yi
东山口	dong'shan'kou
天河	tian'he
冼村	xian'cun
石牌村	shi'pai'cun
国防大厦	guo'fang'da'sha
华侨医院	hua'qiao'yi'yuan
员村山顶	yuan'cun'shan'ding
天府路	tian'fu'lu
天河公园	tian'he'gong'yuan
家家乐医院	jia'jia'le'yi'yuan
泰安花园	tai'an'hua'yuan
地铁棠东站	di'tie'tang'dong'zhan
棠下小区总站	tang'xia'xiao'qu'zong'zhan
人民日报广东分社	ren'min'ri'bao'guang'dong'fen'she
北京路口	bei'jing'lu'kou
堑口	qian'kou
宝岗大道中	bao'gang'da'dao'zhong
华景新城总站	hua'jing'xin'cheng'zong'zhan
华景北路	hua'jing'bei'lu
华景新村	hua'jing'xin'cun
华景路口	hua'jing'lu'kou
南方报社	nan'fang'bao'she
广州大桥北	guang'zhou'da'qiao'bei
客村立交	ke'cun'li'jiao
鹭江	lu'jiang
康乐村	kang'le'cun
中山大学	zhong'shan'da'xue
省荣军医院	sheng'rong'jun'yi'yuan
怡乐村	yi'le'cun
广医二院	guang'yi'er'yuan
礼岗	li'gang
江燕花园	jiang'yan'hua'yuan
